,PlayerName,SecondsRemaining,CarPositionX,CarPositionY,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed
356,RLDataCoach,286.0,2194.0,-1006.36,110.82,0.018140087,0.01752508,0.78125876,-0.62369746,-4310.0,-208684.0,-18271.0,-5081.0,1251.0,2026.0,125.71599048219761
358,RLDataCoach,286.0,2189.62,-1215.39,89.05,0.06529617,0.054134253,0.75893223,-0.645622,-4438.0,-209332.0,-24702.0,-16907.0,4377.0,9452.0,126.49868581894437
360,RLDataCoach,286.0,2186.28,-1372.59,68.53,0.11237673,0.090398245,0.73129857,-0.66663486,-4497.0,-209811.0,-29462.0,-14015.0,3759.0,8392.0,127.15030374576381
361,RLDataCoach,286.0,2182.48,-1547.67,41.58,0.14687662,0.1165523,0.7071583,-0.68174034,-4524.0,-210330.0,-34692.0,-5909.0,1694.0,3873.0,127.93191830970095
363,RLDataCoach,286.0,2167.58,-1711.72,21.9,0.014800709,0.062393773,0.7167348,-0.6943912,-27557.0,-225510.0,-20044.0,52396.0,-16632.0,-1727.0,136.8419807756377
365,RLDataCoach,286.0,2147.71,-1937.58,16.67,-0.014978695,-0.0020419306,0.74316406,-0.66893846,-19805.0,-225769.0,-654.0,-2889.0,7635.0,-10044.0,135.98216999562845
366,RLDataCoach,286.0,2132.06,-2087.78,16.69,-0.0037898445,-0.0046098535,0.75570506,-0.65488493,-26782.0,-224876.0,338.0,-640.0,808.0,-3194.0,135.87927675639136
367,RLDataCoach,286.0,2109.19,-2256.02,16.93,-0.0033258921,-0.0038168186,0.7599612,-0.6499487,-32748.0,-223977.0,210.0,-113.0,-200.0,-982.0,135.8151021347773
368,RLDataCoach,286.0,2080.53,-2442.44,17.01,-0.003568658,-0.0032827337,0.76138973,-0.6482763,-35323.0,-223562.0,39.0,-27.0,-68.0,-285.0,135.80120076729807
369,RLDataCoach,286.0,2050.67,-2628.67,17.01,-0.0036441851,-0.0031478638,0.7618077,-0.64778537,-36140.0,-223425.0,27.0,-6.0,-14.0,-83.0,135.79741950213926
